blind_id,naturalness,intelligibility,prosody,speaker_appeal,artifact_free,notes
v280df64f,3,3,4,4,5,
vf7d3c744,1,2,1,2,5,
v52a4b239,4,4,4,3,5,
vc40d67d2,3,2,2,2,5,
v7ca3e9de,4,1,3,2,1,
v329b982c,5,5,5,5,5,
v76d06674,4,4,3,3,5,
vffe330c9,4,5,4,5,5,
v7d8698eb,4,5,4,4,5,
va9f584d1,4,3,3,3,5,
vca5e1538,3,4,4,5,5,
v7909ca9f,5,5,5,5,5,
v297ac840,2,2,1,2,2,
va32b421b,5,5,5,5,5,
v66b0f96d,5,5,5,4,5,
ve9213327,3,4,3,3,5,
v725aaf92,4,2,4,4,4,
va9b29677,3,3,2,4,3,
v1cf9a757,5,5,5,5,5,
v526dee22,1,2,1,1,5,
vabbb3672,1,1,1,1,5,
vf5f708fb,5,3,4,4,5,
v538446f9,3,4,3,3,5,
v70f023fa,5,5,4,5,5,
v6d73f548,5,4,3,5,5,
v8755a957,5,5,5,5,5,
vd513548b,2,3,2,2,5,
va6f27fc5,5,4,5,5,5,
v5c6c5ef1,3,3,3,2,4,
v4d8e62c6,5,4,5,5,5,
