kind,profile,rank,model,score,eligible
asr,balanced,1,whisper_small_en,0.8276642555034079,False
asr,balanced,2,parakeet_110m,0.8079969793598418,False
asr,balanced,3,moonshine_base,0.5686368588043306,True
asr,balanced,4,moonshine_small,0.3386506609701917,False
asr,balanced,5,moonshine_medium,0.033093349413122364,False
asr,latency_first,1,parakeet_110m,0.8737880397524898,False
asr,latency_first,2,whisper_small_en,0.7226029844562603,False
asr,latency_first,3,moonshine_base,0.5438117568657105,True
asr,latency_first,4,moonshine_small,0.2655393928545722,False
asr,latency_first,5,moonshine_medium,0.02206223294208154,False
asr,memory_first,1,whisper_small_en,0.8444931243322407,False
asr,memory_first,2,moonshine_base,0.723995685329698,True
asr,memory_first,3,parakeet_110m,0.5649442459297498,False
asr,memory_first,4,moonshine_small,0.44525087341965774,False
asr,memory_first,5,moonshine_medium,0.08824893176832627,False
asr,quality_first,1,whisper_small_en,0.8686369086837848,False
asr,quality_first,2,parakeet_110m,0.8529462400427655,False
asr,quality_first,3,moonshine_base,0.4839343222039587,True
asr,quality_first,4,moonshine_small,0.2915116631533571,False
asr,quality_first,5,moonshine_medium,0.02206223294208154,False
tts,balanced,1,kokoro,0.870098974688079,False
tts,balanced,2,piper,0.7887395038476184,False
tts,balanced,3,pocket,0.6043431319827512,False
tts,balanced,4,kitten,0.33570262160315745,False
tts,balanced,5,chatterbox,0.20232002632837986,False
tts,latency_first,1,kokoro,0.8478221223293185,False
tts,latency_first,2,piper,0.8257562898572257,False
tts,latency_first,3,pocket,0.712605906806423,False
tts,latency_first,4,kitten,0.23827532932692097,False
tts,latency_first,5,chatterbox,0.17212991866211858,False
tts,memory_first,1,piper,0.8486310526405255,False
tts,memory_first,2,kokoro,0.7932723283008637,False
tts,memory_first,3,pocket,0.6819095478690306,False
tts,memory_first,4,kitten,0.5261287105971157,False
tts,memory_first,5,chatterbox,0.15872421107460177,False
tts,quality_first,1,kokoro,0.9134103552198484,False
tts,quality_first,2,piper,0.7015999990282279,False
tts,quality_first,3,pocket,0.4155762038361259,False
tts,quality_first,4,chatterbox,0.25012147047938105,False
tts,quality_first,5,kitten,0.23827532932692097,False
